Refnr     Vetenskapligt namn                  Engelskt namn    Föreslaget svenskt namn
    1                                Struthionidae, Strutsar
    2   Struthio camelus             Common Ostrich            Masajstruts
    3   Struthio molybdophanes       Somali Ostrich            Somalistruts
    4                                Rheidae, Nanduer
    5   Rhea americana               Greater Rhea              Nandu
    6   Pterocnemia pennata          Lesser Rhea               Mindre nandu
    7   Pterocnemia tarapacensis     Puna Rhea                 Bergsnandu
    8                                Casuariidae, Kasuarer
    9   Casuarius casuarius          Southern Cassowary        Hjälmkasuar
   10   Casuarius bennetti           Dwarf Cassowary           Dvärgkasuar
   11   Casuarius unappendiculatus   One-wattled Cassowary     Enflikig kasuar
   12                                Dromaiidae, Emuer
   13   Dromaius novaehollandiae     Emu                       Emu
   14                                Apterygidae, Kivier
   15   Apteryx   mantelli           Brown Kiwi                Brun kivi
   16   Apteryx   australis          Tokoeka                   Rothschilds kivi
   17   Apteryx   rowi               Okarito Brown Kiwi        Okaritokivi
   18   Apteryx   owenii             Little Spotted Kiwi       Mindre fläckig kivi
   19   Apteryx   haastii            Great Spotted Kiwi        Större fläckig kivi
   20                                Tinamidae, Tinamoer
   21   Tinamus tao                  Grey Tinamou              Grå tinamo
   22   Tinamus solitarius           Solitary Tinamou          Eremittinamo
   23   Tinamus osgoodi              Black Tinamou             Svart tinamo
   24   Tinamus major                Great Tinamou             Större tinamo
   25   Tinamus guttatus             White-throated Tinamou    Vitstrupig tinamo
   26   Nothocercus bonapartei       Highland Tinamou          Bergstinamo
   27   Nothocercus julius           Tawny-breasted Tinamou    Brunbröstad tinamo
   28   Nothocercus nigrocapillus    Hooded Tinamou            Kamtinamo
   29   Crypturellus berlepschi      Berlepsch's Tinamou       Berlepschs tinamo
   30   Crypturellus cinereus        Cinereous Tinamou         Askgrå tinamo
   31   Crypturellus soui            Little Tinamou            Mindre tinamo
   32   Crypturellus ptaritepui       Tepui Tinamou               Tepuitinamo
   33   Crypturellus obsoletus        Brown Tinamou               Brun tinamo
   34   Crypturellus undulatus        Undulated Tinamou           Inambutinamo
   35   Crypturellus transfasciatus   Pale-browed Tinamou         Ljusbrynad tinamo
   36   Crypturellus strigulosus      Brazilian Tinamou           Brasiliansk tinamo
   37   Crypturellus duidae           Grey-legged Tinamou         Gråbent tinamo
   38   Crypturellus erythropus       Red-footed Tinamou          Rödfotad tinamo
   39   Crypturellus noctivagus       Yellow-legged Tinamou       Gulbent tinamo
   40   Crypturellus atrocapillus     Black-capped Tinamou        Svarthättad tinamo
   41   Crypturellus cinnamomeus      Thicket Tinamou             Snårtinamo
   42   Crypturellus boucardi         Slaty-breasted Tinamou      Boucards tinamo
   43   Crypturellus kerriae          Chocó Tinamou               Chocótinamo
   44   Crypturellus variegatus       Variegated Tinamou          Broktinamo
   45   Crypturellus brevirostris     Rusty Tinamou               Rosttinamo
   46   Crypturellus bartletti        Bartlett's Tinamou          Bartletts tinamo
   47   Crypturellus parvirostris     Small-billed Tinamou        Smånäbbad tinamo
   48   Crypturellus casiquiare       Barred Tinamou              Strimmig tinamo
   49   Crypturellus tataupa          Tataupa Tinamou             Tataupatinamo
   50   Rhynchotus rufescens          Red-winged Tinamou          Rostvingad tinamo
   51   Nothoprocta taczanowskii      Taczanowski's Tinamou       Taczanowskis tinamo
   52   Nothoprocta ornata            Ornate Tinamou              Tofstinamo
   53   Nothoprocta perdicaria        Chilean Tinamou             Chilensk tinamo
   54   Nothoprocta cinerascens       Brushland Tinamou           Busktinamo
   55   Nothoprocta pentlandii        Andean Tinamou              Andinsk tinamo
   56   Nothoprocta curvirostris      Curve-billed Tinamou        Bågnäbbad tinamo
   57   Nothura boraquira             White-bellied Nothura       Vitbukad tinamo
   58   Nothura minor                 Lesser Nothura              Småtinamo
   59   Nothura darwinii              Darwin's Tinamou            Darwins tinamo
   60   Nothura maculosa              Spotted Tinamou             Fläckig tinamo
   61   Nothura chacoensis            Chaco Nothura               Chacotinamo
   62   Taoniscus nanus               Dwarf Tinamou               Dvärgtinamo
   63   Eudromia elegans              Elegant Crested-Tinamou     Prakttinamo
   64   Eudromia formosa              Quebracho Crested-Tinamou   Quebrachotinamo
   65   Tinamotis pentlandii      Puna Tinamou                   Punatinamo
   66   Tinamotis ingoufi         Patagonian Tinamou             Patagontinamo
   67                             Anhimidae, Värnfåglar
   68   Anhima cornuta            Horned Screamer                Hornvärnfågel
   69   Chauna torquata           Crested Screamer               Tofsvärnfågel
   70   Chauna chavaria           Northern Screamer              Svarthalsad värnfågel
   71                             Anseranatidae, Skatgäss
   72   Anseranas semipalmata     Magpie Goose                   Skatgås
   73                             Anatidae, Andfåglar
   74   Dendrocygna guttata       Spotted Whistling-Duck         Fläckig visseland
   75   Dendrocygna eytoni        Plumed Whistling-Duck          Plymvisseland
   76   Dendrocygna bicolor       Fulvous Whistling-Duck         Brun visseland
   77   Dendrocygna arcuata       Wandering Whistling-Duck       Vandringsvisseland
   78   Dendrocygna javanica      Lesser Whistling-Duck          Orientalisk visseland
   79   Dendrocygna viduata       White-faced Whistling-Duck     Vithuvad visseland
   80   Dendrocygna arborea       West Indian Whistling-Duck     Karibisk visseland
   81   Dendrocygna autumnalis    Black-bellied Whistling-Duck   Svartbukad visseland
   82   Thalassornis leuconotus   White-backed Duck              Vitryggad and
   83   Cygnus olor               Mute Swan                      Knölsvan
   84   Cygnus atratus            Black Swan                     Svart svan
   85   Cygnus melancoryphus      Black-necked Swan              Svarthalsad svan
   86   Cygnus buccinator         Trumpeter Swan                 Trumpetarsvan
   87   Cygnus cygnus             Whooper Swan                   Sångsvan
   88   Cygnus columbianus        Tundra Swan                    Tundrasvan
   89   Coscoroba coscoroba       Coscoroba Swan                 Coscorobasvan
   90   Anser cygnoides           Swan Goose                     Svangås
   91   Anser fabalis             Bean Goose                     Sädgås
   92   Anser brachyrhynchus      Pink-footed Goose              Spetsbergsgås
   93   Anser albifrons           White-fronted Goose            Bläsgås
   94   Anser erythropus          Lesser White-fronted Goose     Fjällgås
   95   Anser anser               Greylag Goose                  Grågås
   96   Anser indicus             Bar-headed Goose               Stripgås
   97   Anser caerulescens        Snow Goose                     Snögås
   98   Anser rossii                Ross's Goose             Dvärgsnögås
   99   Anser canagica              Emperor Goose            Kejsargås
  100   Branta hutchinsii           Tundra Goose             Dvärgkanadagås
  101   Branta sandvicensis         Hawaiian Goose           Hawaiigås
  102   Branta canadensis           Canada Goose             Kanadagås
  103   Branta leucopsis            Barnacle Goose           Vitkindad gås
  104   Branta bernicla             Brent Goose              Prutgås
  105   Branta ruficollis           Red-breasted Goose       Rödhalsad gås
  106   Cereopsis novaehollandiae   Cape Barren Goose        Hönsgås
  107   Stictonetta naevosa         Freckled Duck            Vattrad and
