                             Struthionidae, Strutsar
Struthio camelus             Common Ostrich            Masajstruts
Struthio molybdophanes       Somali Ostrich            Somalistruts
                             Rheidae, Nanduer
Rhea americana               Greater Rhea              Nandu
Pterocnemia pennata          Lesser Rhea               Mindre nandu
Pterocnemia tarapacensis     Puna Rhea                 Bergsnandu
                             Casuariidae, Kasuarer
Casuarius casuarius          Southern Cassowary        Hjälmkasuar
Casuarius bennetti           Dwarf Cassowary           Dvärgkasuar
Casuarius unappendiculatus   One-wattled Cassowary     Enflikig kasuar
                             Dromaiidae, Emuer
Dromaius novaehollandiae     Emu                       Emu
                             Apterygidae, Kivier
Apteryx   mantelli           Brown Kiwi                Brun kivi
Apteryx   australis          Tokoeka                   Rothschilds kivi
Apteryx   rowi               Okarito Brown Kiwi        Okaritokivi
Apteryx   owenii             Little Spotted Kiwi       Mindre fläckig kivi
Apteryx   haastii            Great Spotted Kiwi        Större fläckig kivi
                             Tinamidae, Tinamoer
Tinamus tao                  Grey Tinamou              Grå tinamo
Tinamus solitarius           Solitary Tinamou          Eremittinamo
Tinamus osgoodi              Black Tinamou             Svart tinamo
Tinamus major                Great Tinamou             Större tinamo
Tinamus guttatus             White-throated Tinamou    Vitstrupig tinamo
Nothocercus bonapartei       Highland Tinamou          Bergstinamo
Nothocercus julius           Tawny-breasted Tinamou    Brunbröstad tinamo
Nothocercus nigrocapillus    Hooded Tinamou            Kamtinamo
Crypturellus berlepschi      Berlepsch's Tinamou       Berlepschs tinamo
Crypturellus cinereus        Cinereous Tinamou         Askgrå tinamo
Crypturellus soui            Little Tinamou            Mindre tinamo
Crypturellus ptaritepui       Tepui Tinamou               Tepuitinamo
Crypturellus obsoletus        Brown Tinamou               Brun tinamo
Crypturellus undulatus        Undulated Tinamou           Inambutinamo
Crypturellus transfasciatus   Pale-browed Tinamou         Ljusbrynad tinamo
Crypturellus strigulosus      Brazilian Tinamou           Brasiliansk tinamo
Crypturellus duidae           Grey-legged Tinamou         Gråbent tinamo
Crypturellus erythropus       Red-footed Tinamou          Rödfotad tinamo
Crypturellus noctivagus       Yellow-legged Tinamou       Gulbent tinamo
Crypturellus atrocapillus     Black-capped Tinamou        Svarthättad tinamo
Crypturellus cinnamomeus      Thicket Tinamou             Snårtinamo
Crypturellus boucardi         Slaty-breasted Tinamou      Boucards tinamo
Crypturellus kerriae          Chocó Tinamou               Chocótinamo
Crypturellus variegatus       Variegated Tinamou          Broktinamo
Crypturellus brevirostris     Rusty Tinamou               Rosttinamo
Crypturellus bartletti        Bartlett's Tinamou          Bartletts tinamo
Crypturellus parvirostris     Small-billed Tinamou        Smånäbbad tinamo
Crypturellus casiquiare       Barred Tinamou              Strimmig tinamo
Crypturellus tataupa          Tataupa Tinamou             Tataupatinamo
Rhynchotus rufescens          Red-winged Tinamou          Rostvingad tinamo
Nothoprocta taczanowskii      Taczanowski's Tinamou       Taczanowskis tinamo
Nothoprocta ornata            Ornate Tinamou              Tofstinamo
Nothoprocta perdicaria        Chilean Tinamou             Chilensk tinamo
Nothoprocta cinerascens       Brushland Tinamou           Busktinamo
Nothoprocta pentlandii        Andean Tinamou              Andinsk tinamo
Nothoprocta curvirostris      Curve-billed Tinamou        Bågnäbbad tinamo
Nothura boraquira             White-bellied Nothura       Vitbukad tinamo
Nothura minor                 Lesser Nothura              Småtinamo
Nothura darwinii              Darwin's Tinamou            Darwins tinamo
Nothura maculosa              Spotted Tinamou             Fläckig tinamo
Nothura chacoensis            Chaco Nothura               Chacotinamo
Taoniscus nanus               Dwarf Tinamou               Dvärgtinamo
Eudromia elegans              Elegant Crested-Tinamou     Prakttinamo
Eudromia formosa              Quebracho Crested-Tinamou   Quebrachotinamo
Tinamotis pentlandii      Puna Tinamou                   Punatinamo
Tinamotis ingoufi         Patagonian Tinamou             Patagontinamo
                          Anhimidae, Värnfåglar
Anhima cornuta            Horned Screamer                Hornvärnfågel
Chauna torquata           Crested Screamer               Tofsvärnfågel
Chauna chavaria           Northern Screamer              Svarthalsad värnfågel
                          Anseranatidae, Skatgäss
Anseranas semipalmata     Magpie Goose                   Skatgås
                          Anatidae, Andfåglar
Dendrocygna guttata       Spotted Whistling-Duck         Fläckig visseland
Dendrocygna eytoni        Plumed Whistling-Duck          Plymvisseland
Dendrocygna bicolor       Fulvous Whistling-Duck         Brun visseland
Dendrocygna arcuata       Wandering Whistling-Duck       Vandringsvisseland
Dendrocygna javanica      Lesser Whistling-Duck          Orientalisk visseland
Dendrocygna viduata       White-faced Whistling-Duck     Vithuvad visseland
Dendrocygna arborea       West Indian Whistling-Duck     Karibisk visseland
Dendrocygna autumnalis    Black-bellied Whistling-Duck   Svartbukad visseland
Thalassornis leuconotus   White-backed Duck              Vitryggad and
Cygnus olor               Mute Swan                      Knölsvan
Cygnus atratus            Black Swan                     Svart svan
Cygnus melancoryphus      Black-necked Swan              Svarthalsad svan
Cygnus buccinator         Trumpeter Swan                 Trumpetarsvan
Cygnus cygnus             Whooper Swan                   Sångsvan
Cygnus columbianus        Tundra Swan                    Tundrasvan
Coscoroba coscoroba       Coscoroba Swan                 Coscorobasvan
Anser cygnoides           Swan Goose                     Svangås
Anser fabalis             Bean Goose                     Sädgås
Anser brachyrhynchus      Pink-footed Goose              Spetsbergsgås
Anser albifrons           White-fronted Goose            Bläsgås
Anser erythropus          Lesser White-fronted Goose     Fjällgås
Anser anser               Greylag Goose                  Grågås
Anser indicus             Bar-headed Goose               Stripgås
Anser caerulescens        Snow Goose                     Snögås
Anser rossii                Ross's Goose             Dvärgsnögås
Anser canagica              Emperor Goose            Kejsargås
